CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est_Itest,SE_Itest,P_Itest,Est_Mtest,SE_Mtest,P_Mtest,Est_IMtest,SE_IMtest,P_IMtest,Est_I,SE_I,P_I,Est_M,SE_M,P_M,Est_IM,SE_IM,P_IM
1140,gamma-glutamylglutamine,Peptide,Gamma-glutamyl Amino Acid,0.323298001,0.053258602,1.48E-09,-0.227429977,0.05851319,0.000104282,-0.550727978,0.068892752,2.00E-15,0.191064934,0.034187061,2.39E-08,-0.234701701,0.040063025,4.94E-09,-0.425766635,0.046310532,5.22E-20
1221,creatine,Amino Acid,Creatine Metabolism,-0.634671709,0.047981774,1.27E-38,-0.216112428,0.052715742,4.27E-05,0.418559281,0.062066903,1.92E-11,-0.573027255,0.031018999,4.77E-74,-0.165249063,0.036350447,5.58E-06,0.407778192,0.042019007,4.27E-22
1224,"cys-gly, oxidized",Amino Acid,Glutathione Metabolism,0.765319713,0.050218813,3.70E-50,0.186678113,0.05517349,0.000727078,-0.5786416,0.064960628,9.98E-19,0.665735703,0.032334413,6.59E-91,0.182665784,0.03789195,1.47E-06,-0.483069919,0.043800894,5.33E-28
1242,N1-methyladenosine,Nucleotide,"Purine Metabolism, Adenine containing",0.490567946,0.051064834,1.79E-21,0.319896179,0.056102982,1.33E-08,-0.170671767,0.066055,0.009830119,0.406706697,0.033655921,3.25E-33,0.19566534,0.039440595,7.22E-07,-0.211041357,0.045591038,3.76E-06
1342,3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,0.838741168,0.047635699,2.07E-65,0.326412663,0.052335522,5.25E-10,-0.512328505,0.061619237,1.51E-16,0.906644615,0.031919004,4.32E-166,0.309299845,0.037405142,1.67E-16,-0.59734477,0.043238174,1.00E-42
1539,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),-0.213297046,0.055824315,0.000136315,0.217897534,0.061332041,0.000388471,0.43119458,0.072211634,2.70E-09,-0.220646587,0.033935744,8.61E-11,0.264450629,0.039768512,3.21E-11,0.485097216,0.045970092,8.55E-26
1547,N-stearoyl-sphingosine (d18:1/18:0)*,Lipid,Ceramides,-0.184166695,0.055302633,0.000880906,0.322496299,0.060758889,1.21E-07,0.506662993,0.071536811,1.84E-12,-0.21586893,0.034969874,7.16E-10,0.19965485,0.040980386,1.13E-06,0.415523779,0.047370948,2.29E-18
100000054,5-hydroxylysine,Amino Acid,Lysine Metabolism,0.670869267,0.052906704,1.00E-35,0.494652439,0.058126574,3.00E-17,-0.176216828,0.068437554,0.010086762,0.763485826,0.032612262,8.44E-116,0.553757006,0.038217555,9.50E-47,-0.209728819,0.044177275,2.11E-06
100000611,1-palmityl-GPC (O-16:0),Lipid,Lysoplasmalogen,-0.87083339,0.051792628,4.18E-60,-0.458099209,0.056902581,1.28E-15,0.412734181,0.066996439,8.46E-10,-0.857717424,0.032272117,8.20E-147,-0.452191237,0.037818947,1.47E-32,0.405526188,0.043716507,2.44E-20
100000665,docosahexaenoate (DHA; 22:6n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),-0.659631385,0.049897857,1.40E-38,-0.262589147,0.054820868,1.77E-06,0.397042238,0.064545454,8.95E-10,-0.747143802,0.032418305,1.94E-112,-0.249818965,0.037990261,5.27E-11,0.497324837,0.043914537,2.04E-29
100000672,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),0.578707296,0.052851633,2.85E-27,0.368882931,0.05806607,2.51E-10,-0.209824366,0.068366317,0.002170586,0.703091036,0.033445646,1.50E-94,0.427762448,0.039194178,1.85E-27,-0.275328588,0.045306195,1.30E-09
